lot_area,neighborhood,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,bsmt_unf_sf,heating,central_air,1st_flr_sf,2nd_flr_sf,total_sqr_ft,bedrooms,kitchen_qual,total_rooms,garage_type,car_garage,garage_area,wood_deck_sf,open_porch_sf,enclosed_porch,screen_porch,mo_sold,yr_sold,total_bathrooms,remodeled_y/n,total_bsmtfin_sf,finbsmt/gr_liv_area,avg_cs_index_value
10712,Mitchel,1Fam,Single Story,5,5,1991,1992,762,GasA,Y,974,0,974,3,TA,5,0,0,0,0,28,0,0,9,2007,1,Y,212,1186,179.94
18044,Crawfor,1Fam,Single Story,8,5,1986,1986,279,GasA,Y,2726,0,2726,2,Gd,6,Attchd,2,691,216,64,169,0,8,2007,3,N,0,2726,179.94
11084,Gilbert,1Fam,Split Level Style,7,5,2004,2004,192,GasA,Y,744,630,1374,3,Gd,8,BuiltIn,2,400,100,0,0,0,6,2007,4,N,192,1566,179.94
7328,SawyerW,1Fam,Single Story,7,5,2008,2009,1450,GasA,Y,1450,0,1450,2,Gd,6,Attchd,3,788,0,93,0,0,2,2009,2,Y,0,1450,148.55
9042,Crawfor,1Fam,Two Story,7,9,1941,2006,877,GasA,Y,1188,1152,2340,4,Gd,9,Attchd,1,252,0,60,0,0,6,2010,2,Y,275,2615,144.67
4447,Somerst,TwnhsE,Two Story,7,5,2003,2003,530,GasA,Y,530,550,1080,2,Gd,4,Attchd,2,496,0,50,0,0,7,2006,3,N,0,1080,183.48
14684,SawyerW,1Fam,Single Story,7,7,1990,1991,1496,GasA,Y,2196,0,2196,3,Gd,7,Attchd,3,701,84,70,0,0,2,2009,2,Y,662,2858,148.55
5748,Crawfor,TwnhsE,Single Story,8,5,2005,2006,0,GasA,Y,1778,0,1778,2,Ex,5,Attchd,2,495,123,53,0,153,2,2006,4,Y,1573,3351,183.48
6120,BrkSide,1Fam,Single Story,5,6,1925,1999,960,GasA,Y,995,0,995,2,TA,5,Detchd,1,264,0,15,51,0,3,2009,1,Y,0,995,148.55
10920,NAmes,1Fam,Single Story,6,5,1960,1960,520,GasA,Y,1253,0,1253,2,TA,5,Attchd,1,352,0,213,176,0,5,2008,3,N,733,1986,164.06
11767,Edwards,1Fam,Single Story,5,5,1956,1956,604,GasA,Y,1560,0,1560,2,TA,7,Attchd,1,313,0,0,0,0,5,2009,1,N,546,2106,148.55
3675,Edwards,TwnhsE,Split Foyer Style,6,5,2005,2006,0,GasA,Y,1072,0,1072,2,TA,5,Basment,2,525,0,44,0,0,10,2006,2,Y,547,1619,183.48
8235,OldTown,1Fam,Single Story,5,7,1955,1995,0,GasW,Y,825,0,825,2,TA,4,Detchd,2,720,140,50,0,0,10,2008,2,Y,825,1650,164.06
8749,CollgCr,1Fam,Two Story,7,5,2002,2002,840,GasA,Y,840,885,1725,3,Gd,6,Attchd,2,550,0,48,0,0,11,2009,3,N,0,1725,148.55
16560,Crawfor,1Fam,Two Story,6,8,1932,1950,449,GasA,Y,1170,1175,2345,4,TA,9,Detchd,2,360,0,0,0,0,6,2006,3,Y,503,2848,183.48
4435,CollgCr,TwnhsE,Single Story,6,5,2004,2004,186,GasA,Y,848,0,848,1,Gd,3,Attchd,2,420,140,0,0,0,5,2006,2,N,662,1510,183.48
16870,NridgHt,1Fam,Single Story,8,5,2004,2005,251,GasA,Y,1782,0,1782,3,Gd,7,Attchd,3,932,99,82,0,0,4,2009,3,Y,1531,3313,148.55
10237,Gilbert,1Fam,Single Story,6,5,2005,2006,1288,GasA,Y,1316,0,1316,3,Gd,6,Attchd,2,397,100,0,0,0,10,2006,2,Y,28,1344,183.48
9571,Edwards,1Fam,Single Story,5,6,1956,1956,405,GasA,Y,1144,0,1144,3,TA,6,Attchd,1,596,44,0,0,0,6,2010,2,N,739,1883,144.67
15750,CollgCr,1Fam,Single Story,8,5,1999,2000,216,GasA,Y,1513,0,1513,2,Gd,5,Attchd,2,521,135,34,0,0,6,2009,3,Y,1246,2759,148.55
8000,Somerst,1Fam,Single Story,7,5,2002,2002,659,GasA,Y,1492,0,1492,3,Gd,6,Attchd,2,596,277,137,0,0,4,2010,3,N,833,2325,144.67
12320,Crawfor,1Fam,Two Story,7,7,1932,1990,637,GasA,Y,959,650,1609,3,Gd,8,2Types,3,579,0,0,0,104,8,2006,2,Y,0,1609,183.48
8520,NAmes,1Fam,Finished 1 1/2 Story,5,4,1952,1952,403,GasA,Y,910,475,1385,4,TA,6,Detchd,2,720,0,0,0,0,6,2010,2,N,507,1892,144.67
13517,Sawyer,1Fam,Two Story,6,8,1976,2005,192,GasA,Y,725,754,1479,3,Gd,6,Attchd,2,475,0,44,0,0,8,2010,3,Y,533,2012,144.67
7360,CollgCr,1Fam,Single Story,7,5,2010,2010,1198,GasA,Y,1222,0,1222,2,Gd,6,Attchd,2,615,0,54,0,0,3,2010,2,N,24,1246,144.67
7050,Somerst,1Fam,Two Story,7,5,2001,2001,319,GasA,Y,1057,872,1929,3,Gd,7,Attchd,2,650,0,235,0,0,5,2007,4,N,738,2667,179.94
8314,Mitchel,1Fam,Single Story,5,7,1982,1982,270,GasA,Y,816,0,816,2,TA,5,Attchd,1,264,168,0,0,0,8,2007,1,N,546,1362,179.94
3628,Somerst,TwnhsE,Single Story,7,5,2004,2004,1143,GasA,Y,1143,0,1143,1,Gd,5,Attchd,2,588,0,191,0,0,5,2006,2,N,0,1143,183.48
9571,Edwards,1Fam,Single Story,5,5,1956,1956,816,GasA,Y,1073,0,1073,2,TA,5,Attchd,1,340,0,0,0,0,2,2009,2,N,257,1330,148.55
14963,Veenker,TwnhsE,Single Story,8,5,1996,1996,474,GasA,Y,1288,0,1288,1,Ex,4,Attchd,2,500,120,30,0,224,12,2008,3,N,786,2074,164.06
11500,ClearCr,1Fam,Single Story,6,6,1966,1966,197,GasA,Y,1643,0,1643,2,TA,6,Attchd,2,438,339,0,0,0,3,2008,3,N,985,2628,164.06
12665,Timber,1Fam,Two Story,8,5,2005,2006,1094,GasA,Y,1133,1349,2482,4,Gd,9,BuiltIn,3,642,144,39,0,0,2,2007,3,Y,0,2482,179.94
8885,Mitchel,1Fam,Single Story,5,5,1983,1983,239,GasA,Y,902,0,902,2,TA,5,Attchd,2,484,164,0,0,0,6,2006,2,N,625,1527,183.48
8899,Gilbert,1Fam,Single Story,7,5,2007,2007,1316,GasA,Y,1340,0,1340,3,Gd,6,Attchd,2,396,100,30,0,0,8,2007,2,N,24,1364,179.94
2448,NridgHt,Twnhs,Two Story,7,5,2003,2004,191,GasA,Y,764,862,1626,2,Gd,6,BuiltIn,2,474,0,27,0,0,10,2008,4,Y,573,2199,164.06
13014,Sawyer,1Fam,Split Level Style,6,5,1978,1978,480,GasA,Y,1096,0,1096,3,TA,6,Attchd,2,484,168,0,0,0,12,2008,2,N,528,1624,164.06
8250,NAmes,1Fam,Single Story,6,7,1964,1964,305,GasA,Y,1092,0,1092,3,TA,6,Attchd,2,504,0,0,0,0,5,2008,2,N,787,1879,164.06
13132,Crawfor,1Fam,Two Story,5,5,1914,1950,747,GasA,Y,892,892,1784,4,TA,9,Detchd,1,180,203,40,0,0,7,2006,2,Y,0,1784,183.48
6240,NridgHt,TwnhsE,Single Story,8,5,2006,2006,461,GasA,Y,1324,0,1324,2,Gd,6,Attchd,2,550,192,38,0,0,12,2009,3,N,863,2187,148.55
10800,OldTown,1Fam,Two Story,5,9,1895,1999,736,GasA,Y,751,783,1534,3,Gd,6,0,0,0,0,112,0,0,7,2007,2,Y,0,1534,179.94
17503,NAmes,1Fam,Finished 1 1/2 Story,6,5,1948,1950,912,GasA,Y,912,546,1458,3,TA,6,Attchd,1,330,192,0,0,0,1,2010,2,Y,0,1458,144.67
11824,Somerst,1Fam,Single Story,8,5,2006,2006,1685,GasA,Y,1685,0,1685,2,Gd,5,Attchd,3,658,112,63,0,0,4,2007,2,N,0,1685,179.94
11765,NAmes,1Fam,Single Story,5,5,1957,1957,490,GasA,Y,1797,0,1797,3,TA,7,Attchd,3,963,0,0,0,0,6,2006,2,N,1127,2924,183.48
10200,Timber,1Fam,Split Level Style,6,5,1988,1989,678,GasA,Y,1509,0,1509,3,Gd,5,Attchd,2,600,224,0,0,0,8,2008,3,Y,783,2292,164.06
8814,NAmes,1Fam,Two Story,5,6,1968,1968,0,GasA,Y,732,732,1464,4,TA,7,Attchd,2,470,0,40,0,0,6,2008,2,N,732,2196,164.06
9350,Edwards,1Fam,Finished 1 1/2 Story,4,6,1947,1979,564,GasA,Y,1169,0,1531,3,TA,8,Detchd,1,209,0,0,0,0,6,2010,1,Y,192,1723,144.67
12925,NAmes,1Fam,Single Story,6,7,1970,1970,340,GasA,Y,2117,0,2117,4,TA,7,Attchd,2,550,0,42,0,0,12,2008,3,N,865,2982,164.06
10400,NWAmes,1Fam,Two Story,7,6,1980,1988,738,GasA,Y,1277,767,2044,3,TA,7,Attchd,2,489,28,73,0,0,3,2008,3,Y,0,2044,164.06
11345,NAmes,Duplex,Two Story,5,5,1948,1950,708,GasA,Y,928,992,1920,4,TA,10,Detchd,2,400,0,0,0,0,7,2007,2,Y,220,2140,179.94
2117,Somerst,Twnhs,Two Story,6,5,2000,2000,378,GasA,Y,769,804,1573,3,Gd,5,Detchd,2,440,0,32,0,0,6,2010,3,N,378,1951,144.67
11896,Timber,1Fam,Single Story,7,5,2008,2008,1258,GasA,Y,1346,0,1346,3,Gd,6,Attchd,3,660,100,48,0,0,5,2010,3,N,78,1424,144.67
11664,CollgCr,1Fam,Single Story,7,5,2002,2002,335,GasA,Y,1611,0,1611,3,Gd,6,Attchd,3,1231,262,93,0,0,9,2009,3,N,1234,2845,148.55
5520,BrkSide,1Fam,Finished 1 1/2 Story,5,7,1920,1997,497,GasA,Y,565,651,1216,3,TA,6,BuiltIn,1,355,0,0,180,0,10,2008,2,Y,68,1284,164.06
13360,Crawfor,1Fam,Single Story,5,7,1921,2006,163,GasA,Y,964,0,964,2,TA,5,Detchd,2,432,0,0,44,0,9,2009,2,Y,713,1677,148.55
9780,Edwards,1Fam,Finished 1 1/2 Story,5,3,1934,1950,585,GasA,N,687,425,1112,4,TA,6,Detchd,1,226,0,0,0,0,3,2009,3,Y,0,1112,148.55
10650,CollgCr,1Fam,Single Story,5,6,1976,1976,0,GasA,Y,894,0,894,3,TA,5,Attchd,1,308,365,0,0,0,2,2010,2,N,894,1788,144.67
11631,Gilbert,1Fam,Two Story,8,5,2004,2005,1052,GasA,Y,1052,1321,2373,4,Gd,9,BuiltIn,3,632,120,46,0,0,6,2006,3,Y,0,2373,183.48
8471,Sawyer,1Fam,Split Level Style,6,7,1977,1995,0,GasA,Y,1212,0,1212,3,TA,6,Attchd,2,492,292,12,0,0,5,2006,2,Y,506,1718,183.48
7200,OldTown,Duplex,Split Foyer Style,5,5,1980,1980,0,GasA,Y,936,0,936,2,TA,4,Detchd,2,672,49,0,0,0,8,2007,2,N,936,1872,179.94
7134,NAmes,1Fam,Split Level Style,5,5,1955,1955,0,GasA,Y,1360,0,1360,3,TA,6,Detchd,2,572,0,50,0,0,2,2007,1,N,384,1744,179.94
5000,BrkSide,1Fam,Single Story,4,7,1925,1950,577,GasA,N,765,0,765,2,Gd,4,Detchd,1,200,135,0,41,0,6,2010,2,Y,188,953,144.67
8298,Timber,1Fam,Single Story,8,5,2006,2007,963,GasA,Y,1564,0,1564,2,Ex,6,Attchd,2,502,132,0,0,0,9,2007,2,Y,583,2147,179.94
13500,OldTown,1Fam,Unfinished 2 1/2 Story,7,8,1879,1987,819,GasA,Y,1312,1142,2454,3,TA,8,Attchd,2,576,0,148,150,0,8,2007,2,Y,0,2454,179.94
7200,IDOTRR,1Fam,Unfinished 2 1/2 Story,5,7,1920,1996,530,GasA,N,581,530,1111,3,Fa,6,Detchd,1,288,0,0,144,0,5,2007,1,Y,0,1111,179.94
15384,Gilbert,1Fam,Two Story,7,5,2004,2005,64,GasA,Y,788,702,1490,3,Gd,8,Attchd,2,388,100,75,0,0,2,2008,4,Y,724,2214,164.06
9240,NAmes,1Fam,Single Story,6,8,1959,1998,280,GasA,Y,988,0,988,3,Gd,6,Attchd,1,297,156,0,0,0,7,2009,3,Y,708,1696,148.55
8965,Gilbert,1Fam,Two Story,7,5,2003,2003,130,GasA,Y,806,683,1489,3,Gd,8,Attchd,2,400,0,75,0,0,6,2009,4,N,652,2141,148.55
13159,Timber,1Fam,Two Story,7,5,2009,2009,846,GasA,Y,846,846,1692,3,Gd,6,Attchd,2,650,208,114,0,0,7,2009,3,N,0,1692,148.55
20693,Crawfor,1Fam,Single Story,7,5,1971,1971,1262,GasA,Y,1696,0,1696,3,TA,7,Attchd,2,625,0,146,0,0,2,2007,2,N,434,2130,179.94
2179,NPkVill,Twnhs,Two Story,6,5,1976,1976,785,GasA,Y,855,601,1456,3,TA,6,Attchd,2,460,0,28,0,0,7,2006,3,N,70,1526,183.48
4347,OldTown,1Fam,Finished 1 1/2 Story,6,8,1910,1950,796,GasA,Y,825,784,1609,3,TA,7,Detchd,1,228,0,182,0,0,7,2008,1,Y,0,1609,164.06
8340,CollgCr,1Fam,Two Story,6,6,1977,1977,166,GasA,Y,686,702,1388,3,TA,6,Attchd,1,317,406,36,0,0,12,2006,2,N,509,1897,183.48
7990,CollgCr,1Fam,Single Story,5,6,1975,1975,924,GasA,Y,924,0,924,3,TA,5,Detchd,1,280,0,0,0,0,4,2008,1,N,0,924,164.06
10140,NWAmes,1Fam,Single Story,6,6,1974,1999,0,GasA,Y,1309,0,1309,3,Gd,5,Attchd,2,484,265,0,0,0,1,2006,3,Y,1040,2349,183.48
9724,NAmes,1Fam,Single Story,5,7,1947,1950,938,GasA,Y,1043,0,1043,2,TA,5,Detchd,1,273,125,48,0,0,7,2006,1,Y,0,1043,183.48
10637,CollgCr,1Fam,Single Story,8,5,2007,2008,417,GasA,Y,1718,0,1718,3,Gd,7,Attchd,3,826,208,44,0,0,9,2009,3,Y,1288,3006,148.55
7441,SawyerW,1Fam,Single Story,7,5,2006,2006,1461,GasA,Y,1486,0,1486,3,Gd,7,Attchd,2,566,0,32,0,0,6,2007,2,N,0,1486,179.94
10207,Somerst,1Fam,Two Story,7,6,2007,2007,874,GasA,Y,874,887,1761,3,Gd,7,Attchd,2,578,144,105,0,0,8,2007,3,N,0,1761,179.94
10825,NWAmes,1Fam,Single Story,7,7,1983,1983,513,GasA,Y,1260,0,1260,3,TA,6,Attchd,2,598,152,0,0,0,6,2008,3,N,747,2007,164.06
10530,Mitchel,Duplex,Split Foyer Style,6,5,1977,1977,0,GasA,Y,1004,0,1004,2,TA,4,Attchd,2,504,0,0,0,0,5,2006,2,N,975,1979,183.48
8750,CollgCr,1Fam,Two Story,7,5,1996,1996,880,GasA,Y,909,807,1716,2,Gd,7,Attchd,2,512,0,120,0,0,7,2009,3,N,0,1716,148.55
9938,SawyerW,1Fam,Two Story,7,5,1993,1994,300,GasA,Y,1062,887,1949,3,Gd,8,Attchd,2,574,156,90,0,0,6,2010,4,Y,750,2699,144.67
7917,Edwards,1Fam,Single Story,6,7,1976,1976,392,GasA,Y,1113,0,1113,3,TA,6,Attchd,1,504,370,30,0,0,4,2007,3,N,751,1864,179.94
7010,BrkSide,1Fam,Finished 1 1/2 Story,5,5,1935,1950,849,GasA,Y,1144,594,1738,3,TA,6,Detchd,1,240,0,30,0,0,7,2008,2,Y,175,1913,164.06
15676,Veenker,1Fam,Single Story,8,8,1980,1980,189,GasA,Y,2014,0,2014,2,Gd,6,Attchd,3,864,462,0,0,0,5,2009,3,N,1825,3839,148.55
5500,OldTown,1Fam,Unfinished 1 1/2 Story,4,6,1956,1956,882,GasA,Y,882,0,882,1,TA,4,0,0,0,0,0,0,0,4,2007,1,N,0,882,179.94
14892,Gilbert,1Fam,Single Story,9,5,2006,2007,426,GasA,Y,1746,0,1746,3,Ex,7,Attchd,3,758,201,39,0,0,10,2009,3,Y,1320,3066,148.55
9100,Crawfor,1Fam,Single Story,5,6,1954,1954,264,GasA,Y,1112,0,1112,2,TA,6,Attchd,1,390,0,0,0,0,10,2009,2,N,848,1960,148.55
2308,NPkVill,TwnhsE,Two Story,6,6,1976,1976,248,GasA,Y,804,744,1548,3,Gd,7,Detchd,2,440,48,0,0,0,7,2007,4,N,556,2104,179.94
25485,Crawfor,1Fam,Single Story,6,4,1960,1960,0,GasA,Y,1560,0,1560,3,TA,6,Attchd,2,580,0,75,584,0,5,2007,2,N,1560,3120,179.94
8800,CollgCr,1Fam,Single Story,5,7,1977,2008,364,GasA,Y,1040,0,1040,3,Gd,5,Detchd,2,484,0,0,0,288,8,2009,2,Y,676,1716,148.55
7259,Crawfor,1Fam,Two Story,6,8,1945,2002,104,GasA,Y,1436,884,2320,3,Gd,9,Detchd,1,180,224,0,0,0,8,2007,4,Y,924,3244,179.94
9020,NAmes,1Fam,Split Level Style,6,5,1964,1964,288,GasA,Y,1350,0,1350,3,TA,6,Attchd,2,520,176,0,0,0,6,2008,3,N,960,2310,164.06
10042,Edwards,1Fam,Finished 1 1/2 Story,6,8,1920,1995,238,GasA,Y,740,125,865,2,TA,4,Detchd,1,216,0,0,84,0,8,2007,2,Y,422,1287,179.94
11700,NWAmes,1Fam,Two Story,6,6,1968,1968,304,GasA,Y,708,708,1416,3,TA,7,Attchd,2,776,0,169,0,119,5,2006,3,N,404,1820,183.48
3435,Somerst,TwnhsE,Single Story,7,5,2004,2005,1211,GasA,Y,1245,0,1245,1,Gd,5,Attchd,2,495,0,100,0,0,6,2008,2,Y,24,1269,164.06
10667,NAmes,1Fam,Single Story,6,6,1971,1971,749,GasA,Y,1587,0,1587,3,TA,7,Attchd,2,525,0,44,0,0,3,2007,2,N,838,2425,179.94
11457,Timber,1Fam,Single Story,6,5,1988,1988,387,GasA,Y,1412,0,1412,3,Gd,6,Attchd,2,576,0,0,169,0,3,2009,3,N,1005,2417,148.55
10859,CollgCr,1Fam,Single Story,5,5,1994,1995,1097,GasA,Y,1097,0,1097,3,TA,6,Attchd,2,672,392,64,0,0,6,2009,2,Y,0,1097,148.55
12878,NridgHt,1Fam,Single Story,7,5,2003,2004,498,GasA,Y,1760,0,1760,3,Gd,8,Attchd,2,583,165,190,0,0,6,2009,3,Y,1262,3022,148.55
9900,NAmes,1Fam,Single Story,6,5,1967,1967,507,GasA,Y,1691,0,1691,2,TA,5,Attchd,2,550,0,67,260,0,4,2009,2,N,1173,2864,148.55
7840,Edwards,Duplex,Split Foyer Style,6,5,1975,1975,0,GasA,Y,1012,0,1012,4,TA,4,0,0,0,0,0,0,0,10,2006,4,N,976,1988,183.48
2217,MeadowV,TwnhsE,Two Story,4,4,1970,1970,0,GasA,Y,546,546,1092,3,TA,6,Attchd,1,286,238,0,0,0,8,2009,2,N,546,1638,148.55
6993,Sawyer,1Fam,Single Story,5,7,1961,1994,447,GasA,Y,1236,0,1236,3,TA,6,Attchd,1,288,0,0,0,0,7,2006,1,Y,465,1701,183.48
4130,BrkSide,1Fam,Single Story,3,6,1935,2003,270,GasA,Y,729,0,729,2,TA,5,0,0,0,0,0,0,0,7,2008,1,Y,0,729,164.06
8450,CollgCr,1Fam,Single Story,7,5,2004,2004,490,GasA,Y,1436,0,1436,3,Gd,8,Attchd,2,484,139,98,0,0,4,2008,3,N,946,2382,164.06
9308,Sawyer,1Fam,Single Story,5,5,1965,1965,430,GasA,Y,984,0,984,3,TA,5,Attchd,1,310,0,0,0,0,7,2006,1,N,554,1538,183.48
10762,SawyerW,TwnhsE,Two Story,6,6,1980,1980,626,GasA,Y,626,591,1217,3,TA,6,Attchd,1,288,0,28,0,0,4,2009,2,N,0,1217,148.55
4058,NAmes,TwnhsE,Split Foyer Style,7,5,1998,1998,0,GasA,Y,767,0,767,1,TA,4,Attchd,1,367,120,40,0,0,6,2007,2,N,723,1490,179.94
7540,Mitchel,1Fam,Split Foyer Style,6,6,1978,1978,115,GasA,Y,912,0,912,2,TA,5,Attchd,2,470,0,0,0,192,6,2007,2,N,773,1685,179.94
10389,CollgCr,1Fam,Single Story,8,5,2003,2003,296,GasA,Y,1978,0,1978,3,Gd,8,Attchd,3,850,188,25,0,0,5,2010,4,N,1682,3660,144.67
21750,Mitchel,1Fam,Single Story,5,5,1954,1954,988,GasA,Y,988,0,988,2,TA,4,Attchd,2,520,0,0,0,0,2,2008,1,N,0,988,164.06
12568,NridgHt,1Fam,Two Story,8,5,2007,2007,226,GasA,Y,895,923,1818,3,Ex,8,Attchd,3,774,196,104,0,0,8,2007,4,N,669,2487,179.94
8923,Gilbert,1Fam,Split Level Style,7,5,1998,1998,195,GasA,Y,751,631,1382,3,TA,7,BuiltIn,2,396,256,0,0,0,2,2009,3,N,189,1571,148.55
10900,CollgCr,1Fam,Two Story,6,7,1977,1977,311,GasA,Y,689,703,1392,3,TA,6,Attchd,1,299,0,36,0,0,6,2010,2,N,378,1770,144.67
1733,Blueste,Twnhs,Two Story,6,6,1980,1980,516,GasA,Y,516,516,1032,2,TA,5,Detchd,2,452,279,0,0,0,5,2009,1,N,0,1032,148.55
13907,Edwards,1Fam,Single Story,5,6,1940,1969,706,GasA,Y,996,0,996,3,TA,6,0,0,0,144,0,0,0,7,2008,2,Y,290,1286,164.06
9000,IDOTRR,1Fam,Finished 1 1/2 Story,6,6,1937,1950,780,GasA,Y,780,595,1375,3,Gd,6,Detchd,1,544,0,162,0,126,12,2007,2,Y,0,1375,179.94
10395,NWAmes,1Fam,Split Level Style,6,6,1978,1978,427,GasA,Y,1032,0,1032,3,TA,6,Attchd,2,564,0,0,0,0,7,2007,3,N,605,1637,179.94
14215,NridgHt,1Fam,Two Story,8,5,2005,2006,1158,GasA,Y,1158,1218,2376,4,Gd,9,BuiltIn,3,853,240,154,0,0,11,2006,4,Y,0,2376,183.48
7750,Gilbert,1Fam,Split Level Style,7,5,2000,2000,134,GasA,Y,774,656,1430,3,TA,7,BuiltIn,2,400,180,0,0,0,4,2010,3,N,250,1680,144.67
9771,SawyerW,1Fam,Two Story,6,5,1995,2002,298,GasA,Y,1093,1721,2814,4,Gd,9,BuiltIn,2,614,48,32,0,216,6,2008,4,Y,779,3593,164.06
8982,CollgCr,1Fam,Single Story,5,5,1977,1977,501,GasA,Y,1040,0,1040,3,TA,5,Detchd,2,748,0,0,0,0,1,2007,2,N,539,1579,179.94
8281,Sawyer,1Fam,Single Story,5,5,1965,1965,0,GasA,Y,864,0,864,3,TA,5,Detchd,1,360,0,0,236,0,12,2009,1,N,864,1728,148.55
8172,Edwards,1Fam,Single Story,5,7,1955,1990,697,GasA,Y,864,0,864,2,TA,5,Detchd,2,572,0,0,0,0,6,2006,2,Y,167,1031,183.48
6953,Mitchel,1Fam,Single Story,5,7,1971,2004,395,GasA,Y,874,0,874,3,TA,5,Detchd,1,352,0,0,0,0,4,2010,1,Y,469,1343,144.67
7875,Gilbert,1Fam,Two Story,7,5,1996,1996,277,GasA,Y,691,862,1553,3,Gd,6,Attchd,2,420,0,44,0,0,8,2007,3,N,414,1967,179.94
10020,Edwards,1Fam,Single Story,1,1,1922,1950,333,GasA,N,904,0,904,1,Fa,4,0,0,0,0,0,0,0,3,2009,2,Y,350,1254,148.55
159000,ClearCr,1Fam,Finished 1 1/2 Story,6,7,1958,2006,747,GasA,Y,1444,700,2144,4,Gd,7,Attchd,2,389,0,98,0,0,1,2007,3,Y,697,2841,179.94
8000,Gilbert,1Fam,Two Story,6,5,1995,1996,554,GasA,Y,773,885,1658,3,TA,8,Attchd,2,431,224,84,0,0,6,2008,4,Y,219,1877,164.06
9520,Edwards,1Fam,Single Story,4,5,1953,1953,144,GasA,Y,930,0,930,2,TA,5,Attchd,1,286,134,0,0,0,5,2008,1,N,767,1697,164.06
9375,Edwards,1Fam,Single Story,4,5,1954,1954,168,GasA,Y,1350,0,1350,3,TA,6,Attchd,2,504,237,0,0,0,6,2006,2,N,799,2149,183.48
3876,Greens,Twnhs,Single Story,8,5,1978,1978,48,GasA,Y,1226,0,1226,1,Gd,4,Attchd,2,484,133,60,0,0,7,2006,2,N,1178,2404,183.48
7404,OldTown,1Fam,Single Story,4,6,1920,1950,861,GasA,Y,861,0,861,2,TA,5,Detchd,2,288,0,0,128,0,11,2009,1,Y,0,861,148.55
13173,NridgHt,1Fam,Single Story,9,5,2006,2007,80,GasA,Y,1652,0,1652,2,Ex,6,Attchd,2,840,404,102,0,0,11,2009,3,Y,1572,3224,148.55
9000,Somerst,1Fam,Single Story,8,5,2008,2008,488,GasA,Y,1566,0,1566,3,Gd,7,Attchd,2,750,144,168,0,0,4,2010,3,N,1078,2644,144.67
6000,BrkSide,1Fam,Finished 1 1/2 Story,6,6,1939,1950,780,GasA,Y,825,587,1412,4,TA,6,Detchd,1,280,45,0,0,0,5,2009,1,Y,0,1412,148.55
9017,CollgCr,1Fam,Single Story,7,5,1999,1999,871,GasA,Y,1431,0,1431,3,Gd,6,Attchd,2,666,0,35,0,0,9,2009,3,N,560,1991,148.55
1700,ClearCr,Twnhs,Finished 1 1/2 Story,7,5,1980,1981,33,GasA,Y,880,680,1700,2,Gd,7,Basment,1,450,188,36,0,200,4,2006,4,Y,397,2097,183.48
14781,CollgCr,1Fam,Single Story,8,5,2001,2002,1753,GasA,Y,1787,0,1787,3,Gd,7,Attchd,3,748,198,150,0,0,8,2006,2,Y,0,1787,183.48
11050,NWAmes,1Fam,Single Story,6,5,1968,1968,1439,GasA,Y,1740,0,1740,4,TA,8,Attchd,2,512,25,0,0,192,10,2008,2,N,301,2041,164.06
